,美食,酒店,购物中心$百货商场$$家居建材$家电数码,超市$便利店$商铺,生活服务,美容$美发,旅游景点,休闲娱乐,运动健身,教育培训,医疗,汽车服务,飞机场$火车站$地铁站$加油加气站$长途汽车站$公交车站$公交线路口,银行$ATM$信用社,住宅区$宿舍,公司$写字楼,政府机构
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0
5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,1
6,1,0,5,4,2,0,0,0,0,0,0,2,6,0,6,22,2
7,9,1,11,18,8,3,0,4,3,3,4,3,10,0,41,60,5
8,26,2,10,16,25,12,3,3,2,1,2,1,16,0,40,14,6
9,1,1,0,0,0,0,3,0,0,0,0,0,4,1,10,1,0
10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,2
20,3,0,2,10,0,0,0,1,0,0,1,0,6,0,2,31,6
21,60,2,4,49,17,8,0,5,0,1,9,5,7,4,9,63,4
22,5,1,9,15,15,4,1,1,0,0,4,5,10,8,17,67,14
23,16,1,0,6,7,5,0,5,0,2,1,1,5,2,25,9,0
24,0,1,0,0,1,0,1,1,2,0,0,0,1,0,5,1,2
25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,11,0
32,0,0,9,1,3,0,0,0,0,0,0,2,4,0,2,26,1
33,0,0,1,0,2,0,1,0,0,1,0,7,2,0,0,12,1
34,1,0,4,5,4,0,0,1,0,1,0,2,3,0,2,8,5
35,15,0,7,28,4,4,1,3,0,0,0,4,6,0,1,22,3
36,47,1,18,29,20,19,1,3,0,0,3,60,13,0,13,60,8
37,10,1,14,10,11,4,0,3,1,2,5,8,5,3,31,62,11
38,7,3,2,6,5,0,0,2,0,3,2,0,11,0,46,19,7
39,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,4,0,0,0,0,0,0,0,0,1,1,0,1,22,0
47,0,0,3,1,0,0,0,0,0,0,0,0,1,0,3,9,0
48,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6,0
49,60,6,31,96,28,27,1,7,1,2,4,16,9,3,6,27,5
50,44,1,31,71,25,15,0,1,0,1,7,22,6,3,37,46,9
51,60,7,30,71,55,17,2,8,2,4,6,60,13,5,38,62,8
52,60,7,38,134,60,40,3,17,3,5,24,6,13,14,32,63,16
53,60,7,23,79,25,16,2,9,6,1,9,5,9,9,48,30,11
54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
