,美食,酒店,购物中心$百货商场$$家居建材$家电数码,超市$便利店$商铺,生活服务,美容$美发,旅游景点,休闲娱乐,运动健身,教育培训,医疗,汽车服务,飞机场$火车站$地铁站$加油加气站$长途汽车站$公交车站$公交线路口,银行$ATM$信用社,住宅区$宿舍,公司$写字楼,政府机构
1,12,4,1,4,12,1,14,6,2,3,4,1,11,0,19,18,22
2,19,2,0,10,11,2,11,7,3,7,1,2,8,4,27,8,2
3,5,4,0,7,9,6,7,4,2,5,3,2,7,1,56,11,3
4,4,4,0,1,5,0,6,7,0,1,0,0,1,0,6,3,1
5,3,1,0,0,13,2,55,2,0,5,0,0,4,0,15,6,2
6,5,0,1,4,12,0,31,5,2,0,0,1,1,1,4,11,1
7,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1
8,0,0,0,7,7,1,2,0,0,2,1,1,5,1,29,2,1
9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0
10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,0,0,0,0,1,0,1,0,0,0,0,0,1,0,29,4,2
14,3,0,0,7,6,5,0,0,0,1,2,2,2,0,44,2,4
15,13,0,12,9,18,9,1,1,0,6,2,4,5,0,29,14,7
16,23,4,3,26,22,7,1,15,5,8,2,3,8,18,60,84,31
17,60,1,7,67,37,17,36,25,3,10,0,1,15,15,7,74,5
18,60,5,7,49,49,9,5,15,13,20,3,10,8,7,81,80,23
19,20,3,1,10,25,5,6,12,22,22,2,6,17,4,26,35,12
20,38,6,3,46,32,36,3,8,8,15,7,5,13,8,79,40,12
21,17,1,1,3,8,1,3,2,1,1,2,2,6,2,17,64,2
22,6,1,0,8,6,2,8,6,0,2,0,1,6,0,4,38,4
23,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,1
24,0,0,1,1,0,0,0,0,0,1,0,0,1,0,3,0,0
25,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4
26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,2,2,2,7,7,0,0,0,0,0,1,0,3,0,4,4,3
30,20,2,8,16,21,8,5,12,0,8,2,0,11,0,51,24,17
31,32,8,3,15,15,8,1,6,5,2,12,2,6,3,15,79,2
32,60,8,3,71,43,55,1,25,9,31,2,4,12,14,78,80,12
33,60,17,21,81,60,49,4,21,19,29,8,4,13,30,77,95,60
34,36,12,19,34,34,16,2,14,16,22,5,9,11,23,72,79,11
35,45,1,4,31,48,23,1,11,6,17,10,19,9,17,83,40,34
36,60,22,11,83,48,77,3,21,15,31,11,5,10,12,81,67,9
37,60,3,67,66,34,19,0,14,2,9,1,10,8,3,55,76,2
38,60,4,59,86,60,45,3,18,6,29,6,26,12,13,92,67,9
39,44,4,12,40,45,37,2,19,3,25,9,9,4,8,120,40,20
40,30,4,1,21,22,10,23,8,1,6,5,7,6,3,89,16,8
41,33,4,3,17,32,9,0,6,1,10,4,12,4,0,120,27,15
42,23,3,1,9,16,17,8,10,1,6,3,4,2,3,70,16,14
43,12,1,0,7,15,1,0,3,1,3,1,3,3,0,58,34,10
44,2,1,1,8,7,5,6,2,0,1,0,0,2,0,9,8,14
45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
