,美食,酒店,购物中心$百货商场$$家居建材$家电数码,超市$便利店$商铺,生活服务,美容$美发,旅游景点,休闲娱乐,运动健身,教育培训,医疗,汽车服务,飞机场$火车站$地铁站$加油加气站$长途汽车站$公交车站$公交线路口,银行$ATM$信用社,住宅区$宿舍,公司$写字楼,政府机构
1,38,5,10,50,32,34,3,7,5,2,9,3,8,9,83,46,5
2,60,13,43,106,59,101,5,48,8,17,14,4,27,28,97,78,36
3,19,4,6,22,19,17,1,15,2,3,4,19,19,3,109,72,21
4,56,3,11,54,50,13,1,15,5,1,6,8,24,2,120,37,11
5,23,16,2,30,23,7,0,5,3,1,1,10,76,0,89,65,8
6,8,4,0,17,15,1,2,3,1,0,0,3,72,6,13,67,27
7,17,7,0,7,31,2,1,4,0,0,1,2,70,6,3,24,6
8,0,0,0,3,2,0,0,0,0,0,0,0,62,0,61,19,5
9,8,2,0,6,4,0,0,2,1,0,1,1,30,2,66,15,9
10,57,2,8,21,13,4,3,16,3,1,3,2,9,4,36,82,8
11,9,0,0,7,2,0,0,6,1,0,0,2,14,2,23,80,0
12,2,1,0,3,4,0,1,0,1,0,0,0,7,0,9,61,2
13,3,0,0,5,9,2,2,2,4,0,1,4,3,0,62,60,5
14,4,0,3,2,6,3,1,1,0,0,1,4,3,2,32,47,7
15,58,10,50,81,48,31,3,18,4,1,13,7,16,18,68,75,15
16,60,2,3,59,32,11,13,9,3,6,4,0,18,3,97,40,13
17,60,7,15,85,46,11,46,20,1,7,4,3,12,10,74,80,6
18,3,0,1,14,4,9,3,2,2,0,1,5,16,3,33,22,2
19,42,5,6,54,37,24,0,10,6,1,4,6,29,6,88,32,17
20,20,3,4,35,19,16,0,13,7,0,6,0,79,5,87,20,6
21,13,3,3,5,5,0,26,5,7,1,0,5,68,0,68,24,2
22,1,1,0,8,10,2,46,1,1,0,1,1,8,0,67,3,2
23,25,7,5,21,20,10,4,10,3,0,3,5,16,0,84,32,15
24,51,10,17,58,26,15,1,13,4,1,9,5,43,8,120,43,20
25,60,4,6,55,49,5,2,11,16,1,4,6,37,26,73,120,25
26,43,4,3,40,24,1,3,10,6,1,1,7,15,1,68,94,14
27,25,1,17,52,43,25,1,13,3,0,8,15,14,5,75,43,26
28,60,5,7,52,42,36,3,27,7,1,15,8,37,13,82,68,32
29,42,4,55,68,32,24,3,10,4,0,0,37,21,4,71,74,20
30,1,1,1,2,10,1,2,3,0,0,2,18,20,0,68,44,3
31,4,0,1,9,10,4,6,6,1,1,5,0,6,0,15,10,3
32,15,4,12,9,5,0,0,4,5,0,0,1,14,0,68,35,17
33,7,1,0,2,3,0,0,4,2,0,0,1,5,0,66,23,1
34,60,7,11,93,54,41,2,36,12,10,4,23,19,13,74,101,14
35,60,5,11,96,60,57,1,44,12,7,11,1,31,19,95,84,24
36,40,8,8,59,54,24,12,14,2,0,6,13,30,14,112,60,34
37,6,2,3,19,15,8,29,5,2,0,8,1,11,2,107,8,24
38,21,3,4,35,23,9,3,11,0,4,12,14,13,5,109,51,26
39,60,6,17,88,52,25,1,17,6,0,5,2,30,24,120,33,33
40,60,8,9,79,52,27,4,17,2,2,7,1,26,15,98,66,47
41,11,2,4,13,17,2,0,2,1,1,2,6,13,0,25,66,13
42,39,3,8,76,48,32,1,18,6,0,14,38,19,14,82,90,39
43,38,2,21,65,30,26,0,9,7,1,8,7,18,12,88,24,14
44,60,24,64,88,50,27,2,24,5,1,10,16,22,23,81,113,9
45,38,2,10,59,45,20,3,9,6,1,6,14,19,7,76,63,15
46,23,3,7,24,12,16,0,6,0,1,2,5,8,0,66,18,9
47,60,9,15,69,44,36,1,21,4,2,9,4,33,26,85,60,13
48,60,5,5,57,36,38,1,19,8,1,8,5,13,10,94,74,15
49,60,10,64,80,60,24,8,37,21,2,3,26,25,11,58,120,14
50,60,15,13,79,44,26,7,38,19,2,13,9,11,3,81,120,24
51,48,9,7,18,27,18,4,18,8,1,7,5,10,5,94,109,31
52,7,1,0,11,5,0,0,1,2,0,0,1,9,0,23,13,3
53,21,7,1,15,12,11,3,3,1,0,2,4,16,6,80,20,6
54,12,6,7,27,51,18,1,8,8,1,20,15,30,2,96,103,24
55,37,4,6,42,28,6,5,17,6,5,6,5,17,5,81,105,28
56,27,1,7,35,60,0,2,9,0,2,0,2,15,6,26,89,14
57,60,5,10,66,29,36,1,19,10,0,2,14,19,17,81,85,29
58,60,9,14,102,42,32,3,34,9,5,9,2,16,16,88,92,33
59,21,0,40,35,21,5,0,11,1,0,5,5,30,6,120,54,27
60,25,3,15,21,18,9,3,17,3,0,2,6,16,0,101,63,18
61,16,0,15,53,30,17,0,9,1,0,4,2,18,2,69,26,23
62,23,1,6,15,12,8,1,6,1,0,2,7,16,1,72,36,12
63,23,3,13,24,13,1,1,3,2,2,3,2,19,3,65,94,10
64,22,6,5,18,18,14,5,14,1,2,4,16,20,6,97,99,30
65,60,22,7,57,42,21,2,18,8,2,6,13,9,31,98,117,25
66,60,8,9,78,53,34,6,26,18,6,10,2,20,14,82,104,12
67,40,7,0,31,12,30,2,15,8,4,9,1,26,5,119,89,18
68,60,6,6,90,53,41,10,43,4,8,6,3,14,22,120,48,60
69,60,9,19,87,60,50,2,47,4,9,19,4,19,26,120,102,60
70,17,1,1,13,16,6,2,6,1,2,3,6,7,3,29,87,4
71,12,1,2,16,14,5,1,6,1,2,19,13,22,5,80,77,8
72,60,4,60,86,35,26,8,17,8,1,3,24,12,13,88,120,22
73,56,1,37,81,31,13,5,18,2,2,8,7,16,7,93,74,29
74,38,6,5,46,33,16,3,8,3,1,3,5,18,15,110,80,60
75,33,2,3,53,29,17,1,12,1,0,12,7,14,8,112,36,26
76,23,2,10,21,19,13,2,8,8,2,3,0,18,8,78,19,10
77,60,11,27,53,30,22,1,28,5,2,7,1,13,12,95,80,44
78,60,3,6,43,27,6,4,21,7,1,5,4,19,8,48,120,18
79,54,3,5,35,27,6,3,24,1,4,10,2,27,9,93,120,33
80,33,9,11,44,24,11,2,12,6,1,3,12,13,7,96,95,24
81,41,8,1,29,21,15,2,18,16,1,1,2,15,2,71,74,9
82,60,13,15,90,60,43,8,56,23,5,28,7,18,55,88,103,26
83,60,20,13,70,38,12,14,42,11,2,5,3,21,39,95,120,60
84,60,13,20,100,60,56,3,40,21,6,12,4,27,27,120,120,60
85,47,5,8,73,36,13,22,22,10,1,4,7,20,4,88,73,17
86,37,6,2,44,42,9,30,18,3,2,4,3,20,9,103,86,34
87,60,9,12,82,42,19,2,14,4,1,8,7,13,3,106,58,40
88,60,10,10,91,39,32,1,15,6,2,13,3,15,18,120,72,36
89,31,7,4,34,24,8,7,6,11,0,3,8,17,23,82,73,60
90,31,2,19,46,46,33,2,17,12,4,5,4,36,8,103,68,36
91,35,2,13,71,49,31,1,18,6,5,6,4,24,13,78,48,27
92,19,5,1,13,22,5,1,5,6,0,2,4,14,0,79,64,23
93,45,7,3,34,24,5,1,9,6,2,2,4,21,14,74,97,37
94,60,1,5,31,27,2,4,22,4,2,5,2,32,6,23,120,21
95,19,3,3,26,18,7,0,12,3,1,7,4,21,0,88,87,22
96,41,15,6,23,30,20,4,20,4,0,11,13,25,10,120,83,31
97,27,6,2,48,35,23,12,16,8,0,20,2,26,13,102,87,39
98,60,12,12,93,58,30,10,44,16,5,6,8,21,48,114,120,39
99,60,20,9,87,60,34,3,33,9,3,22,4,25,26,120,94,60
100,36,12,6,47,34,40,5,13,5,3,8,5,17,18,120,87,55
101,59,18,5,54,43,28,9,23,15,11,3,13,18,17,120,116,44
102,60,8,26,88,60,47,7,50,9,2,12,5,25,21,111,81,52
103,59,9,16,50,40,18,4,15,5,3,22,4,17,3,115,95,51
104,14,0,1,23,14,8,1,2,1,1,3,0,20,3,73,61,5
105,40,5,7,36,24,20,1,13,2,2,7,11,21,8,87,63,18
106,22,0,3,23,14,1,1,6,2,0,2,5,16,0,103,14,40
107,45,4,8,73,50,14,0,16,8,3,11,1,19,8,120,52,56
108,20,4,4,10,18,2,23,7,5,6,2,2,23,8,82,41,29
109,60,15,6,94,42,21,1,38,3,2,14,3,19,30,105,91,31
110,60,10,5,48,43,21,2,12,5,3,27,3,10,5,94,73,24
111,37,5,3,54,33,10,3,15,6,1,23,29,23,13,120,120,39
112,60,10,8,98,60,10,3,26,9,1,18,2,16,16,120,120,56
113,60,14,11,91,60,33,12,32,15,2,20,3,12,12,120,120,38
114,60,22,15,99,60,47,13,33,12,4,26,5,24,26,120,120,50
115,60,38,33,106,47,97,60,53,30,6,9,4,27,41,120,120,60
116,30,9,5,56,30,13,2,9,6,1,5,2,7,7,120,65,47
117,60,24,14,107,60,58,4,48,21,10,12,18,36,39,120,120,60
118,42,10,8,56,38,12,3,19,5,1,5,18,10,12,120,120,60
119,18,5,5,35,60,11,1,17,2,5,6,2,11,1,114,69,42
120,21,2,26,28,23,3,1,9,3,1,1,2,15,3,82,83,19
121,33,25,4,34,28,12,0,16,3,2,5,0,13,5,120,48,30
122,60,4,5,88,60,10,2,12,4,1,2,2,93,8,74,47,18
123,60,13,18,75,60,38,4,31,11,2,14,12,28,19,120,104,60
124,60,11,61,101,60,66,3,36,21,8,8,3,19,26,96,84,43
125,60,6,57,76,60,31,0,16,5,7,15,8,11,19,100,120,36
126,60,16,62,95,60,66,4,45,11,4,10,9,19,7,120,120,51
127,60,20,5,80,60,27,4,25,15,7,34,3,18,36,120,120,60
128,60,13,6,86,60,39,9,51,12,4,14,1,18,32,120,120,60
129,60,45,13,94,60,24,11,56,13,6,44,5,23,21,120,120,60
130,60,17,7,95,60,36,18,41,13,10,7,2,34,23,120,120,60
131,60,19,24,94,60,42,3,44,17,8,16,5,21,40,120,120,60
132,60,16,5,74,60,52,1,34,12,4,10,3,22,31,120,120,57
133,52,6,12,47,52,40,1,20,2,2,4,8,16,12,120,100,48
134,60,13,14,113,60,42,2,33,3,2,13,3,30,33,120,120,57
135,47,4,24,84,51,31,2,14,14,1,5,9,16,4,120,78,53
136,4,3,7,33,20,6,14,4,1,0,3,4,5,3,72,47,15
137,40,8,7,29,31,5,1,7,1,0,5,7,22,2,64,70,36
138,13,5,4,24,20,7,0,10,4,1,18,2,23,3,79,71,44
139,60,11,21,67,60,33,2,30,12,6,24,6,21,18,120,120,56
140,57,5,8,79,57,14,6,16,29,6,8,4,28,16,90,120,24
141,60,41,15,103,60,102,24,60,39,9,14,10,27,50,120,120,60
142,60,24,50,101,60,96,27,60,29,12,30,8,29,51,104,120,50
143,60,21,5,68,43,11,26,42,5,0,9,0,23,21,120,100,60
144,60,15,4,77,35,29,34,33,8,3,22,2,20,19,120,120,60
145,60,31,10,93,60,52,18,45,15,3,60,1,20,20,120,120,60
146,60,29,14,118,60,21,9,52,20,7,16,11,30,30,120,120,60
147,60,14,17,133,60,74,11,60,22,2,18,9,31,43,120,120,60
148,60,35,13,114,60,120,10,60,27,8,33,3,31,49,120,120,60
149,53,5,5,37,37,46,7,19,20,4,3,5,17,15,90,104,23
150,51,9,15,90,40,24,2,27,8,5,9,7,20,15,120,80,42
151,18,5,7,31,29,6,34,5,2,2,0,16,12,1,75,66,7
152,30,5,10,48,29,13,1,13,1,1,5,17,15,2,99,70,29
153,11,0,5,33,19,6,0,3,1,1,2,10,63,0,88,65,26
154,60,6,5,74,33,15,19,29,4,1,10,3,36,18,108,69,60
155,60,14,10,69,40,26,11,24,4,3,9,1,19,10,120,89,32
156,56,33,11,64,60,23,2,17,11,5,57,1,19,15,120,120,60
157,54,23,10,89,57,59,11,27,18,4,32,1,23,60,120,120,60
158,60,36,6,85,51,28,24,57,18,3,6,0,23,29,120,103,60
159,60,21,9,102,41,36,25,60,6,5,49,2,31,34,120,120,60
160,60,60,13,99,60,51,56,60,12,2,34,4,34,43,120,120,60
161,60,9,29,118,60,54,52,60,16,13,49,4,57,55,120,120,60
162,60,19,20,121,60,45,6,57,31,5,32,3,32,31,120,120,60
